epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7244,1.38455,2.62506,1.71332,0.58065,0.65364,0.50274,0.29669,1.66979,9.90037,2.19673,0.000467346,0.000467346,0.000467346
2,76.6061,1.29429,1.52871,1.50734,0.2841,0.71486,0.44053,0.17937,2.23317,11.441,3.50416,0.000924994,0.000924994,0.000924994
3,110.94,1.31162,1.43908,1.47543,0.3362,0.55757,0.4088,0.15579,2.29895,11.5802,3.54959,0.00136378,0.00136378,0.00136378
4,144.671,1.29318,1.24799,1.4195,0.89223,0.52075,0.56335,0.35179,1.45312,2.78991,1.63812,0.00134412,0.00134412,0.00134412
5,179.079,1.23676,1.10284,1.35657,0.89572,0.68488,0.78623,0.473,1.35153,3.49427,1.61001,0.00131582,0.00131582,0.00131582
6,213.51,1.21347,1.10081,1.33713,0.79862,0.55892,0.70419,0.50603,1.16827,1.96058,1.46398,0.00128753,0.00128753,0.00128753
7,247.603,1.17243,1.02479,1.33368,0.8889,0.79632,0.91329,0.63564,1.09363,0.92583,1.37662,0.00125923,0.00125923,0.00125923
8,281.958,1.10806,0.95713,1.28113,0.86575,0.9209,0.91853,0.66405,1.05007,0.63016,1.31865,0.00123094,0.00123094,0.00123094
9,316.505,1.12235,0.92956,1.27878,0.94191,0.95329,0.97205,0.67697,1.06758,0.89573,1.30665,0.00120265,0.00120265,0.00120265
10,351.4,1.13818,0.9794,1.28983,0.95738,0.93196,0.96737,0.6803,1.05635,0.60431,1.28863,0.00117435,0.00117435,0.00117435
11,390.32,1.094,0.8821,1.26527,0.95288,0.93102,0.96794,0.68981,1.07117,0.58645,1.2957,0.00114606,0.00114606,0.00114606
12,427.297,1.11513,0.85573,1.24636,0.95565,0.85386,0.96196,0.68447,1.0375,0.61956,1.26536,0.00111776,0.00111776,0.00111776
13,461.308,1.05457,0.80704,1.21801,0.92441,0.90994,0.9567,0.68591,1.03389,0.6849,1.26071,0.00108947,0.00108947,0.00108947
14,495.458,1.09382,0.85144,1.2597,0.96684,0.92448,0.97533,0.70554,1.02481,0.56776,1.25094,0.00106118,0.00106118,0.00106118
15,531.783,1.0758,0.81622,1.24943,0.96608,0.94465,0.99144,0.71825,1.03525,0.52618,1.25895,0.00103288,0.00103288,0.00103288
