epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5674,1.38455,2.62506,1.71332,0.58065,0.65364,0.50274,0.29669,1.66979,9.90037,2.19673,0.000467346,0.000467346,0.000467346
2,77.5781,1.27143,1.51899,1.50464,0.23901,0.57252,0.15214,0.07915,1.88941,87.7201,3.38563,0.000934337,0.000934337,0.000934337
3,112.321,1.33554,1.41208,1.52877,0.20812,0.39838,0.33382,0.10085,3.05107,5.16115,3.73077,0.0013919,0.0013919,0.0013919
4,147.227,1.27795,1.24234,1.43652,0.65629,0.32994,0.30576,0.12279,2.04384,3.89851,2.511,0.00138656,0.00138656,0.00138656
5,181.968,1.25165,1.15684,1.42237,0.56877,0.54136,0.52825,0.31809,1.34205,2.70125,1.61028,0.00137241,0.00137241,0.00137241
6,221.418,1.20148,1.12778,1.36563,0.88176,0.79065,0.85694,0.57316,1.15896,1.3428,1.38662,0.00135826,0.00135826,0.00135826
7,256.555,1.17448,1.03321,1.3647,0.89934,0.93767,0.95583,0.67296,1.05189,0.70829,1.33508,0.00134412,0.00134412,0.00134412
8,297.19,1.13046,0.96662,1.32339,0.97333,0.85862,0.91552,0.63486,1.16248,0.7814,1.36164,0.00132997,0.00132997,0.00132997
9,332.072,1.1437,0.97677,1.33066,0.93582,0.88967,0.96052,0.66559,1.0659,0.78398,1.35229,0.00131582,0.00131582,0.00131582
10,366.59,1.12573,0.94974,1.3144,0.9091,0.80537,0.87171,0.6138,1.07467,0.77086,1.31768,0.00130168,0.00130168,0.00130168
11,401.375,1.10072,0.89261,1.28382,0.93861,0.9182,0.95627,0.68247,1.03522,0.60816,1.25844,0.00128753,0.00128753,0.00128753
12,440.929,1.13741,0.86873,1.29502,0.95293,0.95126,0.98002,0.69225,1.0413,0.59196,1.26011,0.00127338,0.00127338,0.00127338
13,475.796,1.07663,0.84587,1.28662,0.9618,0.90627,0.97959,0.68371,1.08412,0.63747,1.29514,0.00125923,0.00125923,0.00125923
14,510.354,1.10829,0.88863,1.29238,0.96869,0.93893,0.97855,0.6636,1.11842,0.55326,1.32709,0.00124509,0.00124509,0.00124509
15,545.029,1.07796,0.8396,1.28139,0.91775,0.84582,0.9193,0.66609,1.07157,0.69053,1.29141,0.00123094,0.00123094,0.00123094
16,579.631,1.08733,0.87052,1.28302,0.92525,0.94087,0.97632,0.695,1.02657,0.5739,1.29091,0.00121679,0.00121679,0.00121679
17,620.497,1.10475,0.82243,1.31361,0.96019,0.89767,0.95763,0.69245,1.01172,0.70741,1.26295,0.00120265,0.00120265,0.00120265
18,655.274,1.04218,0.80549,1.23889,0.94897,0.97475,0.99004,0.72452,1.01898,0.50553,1.25188,0.0011885,0.0011885,0.0011885
19,694.177,1.03712,0.79824,1.23864,0.95125,0.92772,0.97572,0.70852,1.0019,0.51376,1.23158,0.00117435,0.00117435,0.00117435
20,728.861,1.09953,0.86068,1.28039,0.97447,0.9495,0.98065,0.69872,1.03459,0.51392,1.25292,0.00116021,0.00116021,0.00116021
21,763.363,1.03232,0.76008,1.23993,0.97252,0.94822,0.98506,0.7186,1.02366,0.48752,1.26176,0.00114606,0.00114606,0.00114606
22,798.226,1.0386,0.76346,1.23818,0.9739,0.98189,0.99322,0.69115,1.09855,0.47363,1.30238,0.00113191,0.00113191,0.00113191
23,833.338,1.00066,0.76586,1.22639,0.95896,0.97415,0.98397,0.69914,1.04179,0.50602,1.27208,0.00111776,0.00111776,0.00111776
24,868.407,1.04183,0.75236,1.24135,0.95716,0.95488,0.98107,0.73447,0.99353,0.50326,1.23056,0.00110362,0.00110362,0.00110362
25,904.79,1.0126,0.73933,1.24144,0.96842,0.94944,0.9814,0.71872,1.01116,0.51926,1.23008,0.00108947,0.00108947,0.00108947
26,940.054,1.02738,0.79705,1.23317,0.94606,0.97276,0.97612,0.6982,1.01168,0.48018,1.25646,0.00107532,0.00107532,0.00107532
27,975.261,1.00952,0.73421,1.21342,0.95828,0.93143,0.9742,0.71581,1.02058,0.50576,1.25516,0.00106118,0.00106118,0.00106118
28,1010,1.01154,0.7574,1.22124,0.96949,0.97792,0.99341,0.72638,1.02805,0.48276,1.2554,0.00104703,0.00104703,0.00104703
29,1044.57,1.0177,0.72478,1.21788,0.94604,0.94664,0.98817,0.72915,0.96184,0.48036,1.19876,0.00103288,0.00103288,0.00103288
30,1079.13,1.02272,0.71054,1.21537,0.93892,0.98272,0.99282,0.73259,1.01857,0.43702,1.2467,0.00101873,0.00101873,0.00101873
31,1113.7,1.02829,0.69746,1.22655,0.98216,0.9812,0.9937,0.72293,1.00354,0.4046,1.20498,0.00100459,0.00100459,0.00100459
32,1148.05,0.97368,0.69766,1.19821,0.96987,0.96218,0.98416,0.73681,0.97971,0.44268,1.20753,0.00099044,0.00099044,0.00099044
33,1182.91,1.00991,0.77828,1.21214,0.96073,0.98123,0.99248,0.7284,1.0006,0.428,1.22373,0.000976293,0.000976293,0.000976293
34,1217.19,0.97252,0.69856,1.19778,0.97203,0.99374,0.99347,0.73286,1.01664,0.4189,1.21268,0.000962146,0.000962146,0.000962146
35,1251.58,0.9788,0.67976,1.20487,0.95524,0.97092,0.99236,0.73929,0.98378,0.45951,1.20087,0.000947999,0.000947999,0.000947999
36,1286.75,0.96749,0.66596,1.18315,0.97744,0.9718,0.99255,0.72185,1.00398,0.41593,1.23043,0.000933851,0.000933851,0.000933851
37,1321.31,0.98232,0.68358,1.21284,0.97091,0.97123,0.98551,0.72514,0.95603,0.4234,1.19314,0.000919704,0.000919704,0.000919704
38,1356.12,0.9662,0.65756,1.19976,0.9391,0.96325,0.98514,0.73793,0.96512,0.42251,1.18848,0.000905557,0.000905557,0.000905557
39,1391.09,0.94585,0.65012,1.18663,0.98242,0.97715,0.98763,0.73231,1.02004,0.42558,1.24378,0.00089141,0.00089141,0.00089141
40,1426.26,0.97228,0.64957,1.1935,0.95931,0.97732,0.99106,0.72992,0.97546,0.43062,1.20614,0.000877263,0.000877263,0.000877263
41,1461.44,0.98082,0.67088,1.19515,0.96118,0.98413,0.99369,0.73704,0.97353,0.4262,1.20058,0.000863116,0.000863116,0.000863116
42,1496.51,0.9572,0.6602,1.17831,0.96223,0.97444,0.99025,0.73504,0.96461,0.41468,1.18674,0.000848969,0.000848969,0.000848969
43,1531.31,0.94578,0.64133,1.18117,0.92839,0.96781,0.9882,0.72837,0.99797,0.46212,1.20962,0.000834822,0.000834822,0.000834822
44,1565.81,0.97411,0.6563,1.18982,0.97085,0.97841,0.99234,0.74739,0.97621,0.4001,1.20747,0.000820675,0.000820675,0.000820675
45,1600.87,0.96544,0.66341,1.18144,0.97026,0.9813,0.9936,0.75162,0.96578,0.41069,1.19814,0.000806528,0.000806528,0.000806528
46,1640.77,0.94529,0.63477,1.16838,0.96274,0.97208,0.99065,0.72338,1.01514,0.41511,1.22145,0.00079238,0.00079238,0.00079238
47,1675.31,0.92527,0.6312,1.17956,0.96046,0.96903,0.99103,0.73336,0.96056,0.42766,1.17695,0.000778233,0.000778233,0.000778233
48,1709.71,0.94215,0.6398,1.17761,0.96913,0.97698,0.99309,0.73764,0.97129,0.39635,1.18732,0.000764086,0.000764086,0.000764086
49,1744.79,0.94843,0.64488,1.18907,0.96106,0.97515,0.98864,0.71603,1.05446,0.41967,1.2457,0.000749939,0.000749939,0.000749939
50,1779.44,0.9541,0.64175,1.17834,0.97319,0.98118,0.98544,0.73148,0.97727,0.37292,1.20689,0.000735792,0.000735792,0.000735792
51,1814.62,0.95036,0.61122,1.17725,0.98253,0.98215,0.99165,0.75059,0.96565,0.39405,1.19486,0.000721645,0.000721645,0.000721645
52,1848.93,0.9276,0.59676,1.17237,0.97199,0.98861,0.99229,0.74991,0.97542,0.38925,1.20494,0.000707498,0.000707498,0.000707498
